epoch,is_street__dice_coef,is_street_loss,is_street_pr_auc,is_street_precision,is_street_recall,val_is_street__dice_coef,val_is_street_loss,val_is_street_pr_auc,val_is_street_precision,val_is_street_recall
280,0.0254,0.5123,0.0145,0.0,0.0,0.0283,0.5555,0.0158,0.0,0.0
281,0.029,0.5155,0.0174,0.0,0.0,0.0178,0.5089,0.009,0.0,0.0
282,0.0285,0.5163,0.0157,0.0,0.0,0.0245,0.5143,0.0142,0.0,0.0
283,0.0271,0.5126,0.0161,0.0,0.0,0.0167,0.5102,0.0083,0.0,0.0
284,0.0271,0.5157,0.0155,0.0,0.0,0.0234,0.5104,0.0122,0.0,0.0
285,0.0264,0.5163,0.0153,0.0,0.0,0.018,0.5169,0.0097,0.0,0.0
286,0.0258,0.5145,0.0155,0.0,0.0,0.0156,0.5073,0.0084,0.0,0.0
287,0.0281,0.5165,0.0159,0.0,0.0,0.0201,0.5147,0.0086,0.0,0.0
288,0.0279,0.5149,0.0154,0.0,0.0,0.0207,0.5122,0.011,0.0,0.0
289,0.0248,0.5136,0.0147,0.0,0.0,0.0185,0.5121,0.0094,0.0,0.0
290,0.0287,0.5142,0.0161,0.0,0.0,0.0229,0.5121,0.0126,0.0,0.0
291,0.0275,0.5127,0.016,0.0,0.0,0.0208,0.5093,0.0111,0.0,0.0
292,0.0251,0.5232,0.0153,0.0,0.0,0.0164,0.5144,0.0098,0.0,0.0
293,0.0259,0.5128,0.0159,0.0,0.0,0.0195,0.5244,0.0102,0.0,0.0
294,0.028,0.5164,0.0164,0.0,0.0,0.0194,0.5142,0.0096,0.0,0.0
295,0.0279,0.515,0.0152,0.0,0.0,0.0195,0.5088,0.0127,0.0,0.0
296,0.0249,0.5243,0.015,0.0022,0.00020079,5.5322e-05,0.6292,0.011,0.0,0.0
297,0.0249,0.5259,0.0156,0.0,0.0,0.0172,0.5125,0.0101,0.0,0.0
298,0.0259,0.5149,0.0148,0.0,0.0,0.0194,0.5115,0.0095,0.0,0.0
299,0.0258,0.5126,0.0141,0.0,0.0,0.0232,0.5279,0.0136,0.0,0.0
300,0.0266,0.519,0.0161,0.0,0.0,0.0175,0.5138,0.009,0.0,0.0
301,0.0279,0.5146,0.0167,0.0,0.0,0.0181,0.5197,0.0112,0.0,0.0
302,0.0291,0.5141,0.0179,0.0,0.0,0.022,0.5118,0.0111,0.0,0.0
303,0.0277,0.5155,0.016,0.0,0.0,0.0226,0.5101,0.0142,0.0,0.0
304,0.0289,0.5128,0.0162,0.0,0.0,0.0236,0.5098,0.0129,0.0,0.0
305,0.0295,0.5142,0.017,0.0,0.0,0.0191,0.5105,0.0103,0.0,0.0
306,0.021,0.5405,0.0144,0.00010119,7.617e-07,0.0186,0.5172,0.0096,0.0,0.0
307,0.0293,0.5139,0.0171,0.0,0.0,0.019,0.5092,0.0108,0.0,0.0
308,0.0254,0.5155,0.0137,0.0,0.0,0.0192,0.5181,0.0129,0.0,0.0
309,0.0272,0.5152,0.0158,0.0,0.0,0.0192,0.5096,0.0098,0.0,0.0
310,0.0278,0.5125,0.016,0.0,0.0,0.0233,0.5111,0.0178,0.0,0.0
311,0.0262,0.5134,0.0143,0.0,0.0,0.0262,0.5112,0.0149,0.0,0.0
312,0.0193,0.5103,0.0106,0.0,0.0,,,,,
